identifier,SMILES,area,retention_time,conc_M
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,110363729,6.456,0.000882945
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,80388018,6.456,0.000662209
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,57598386,6.456,0.000441473
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,39731164,6.456,0.000220736
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,10552776,6.456,8.83E-05
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,7871570,6.456,6.62E-05
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,5253713,6.456,4.41E-05
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,2796868,6.456,2.21E-05
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,33409,6.456,4.41E-06
Penoxsulam,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,21590,6.456,8.83E-07
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,464438153,10.774,0.001070093
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,334039834,10.774,0.00080257
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,241517490,10.774,0.000535047
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,162922083,10.774,0.000267523
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,43476847,10.774,0.000107009
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,32328641,10.774,8.03E-05
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,21686556,10.774,5.35E-05
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,11230725,10.774,2.68E-05
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,702997,10.774,5.35E-06
PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,398773,10.774,1.07E-06
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,26141350,6.461,0.00100911
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,18151774,6.461,0.000756832
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,13827337,6.461,0.000504555
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,8225775,6.461,0.000252277
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,2121544,6.461,0.000100911
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,1661366,6.461,7.57E-05
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,1016370,6.461,5.05E-05
metolachor ESA,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C,507518,6.461,2.52E-05
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,4489695,1.953,0.00116
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,2638290,1.953,0.00071
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,2259346,1.953,0.00048
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,1313860,1.953,0.00024
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,385843,1.953,0.000095
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,291866,1.953,0.000071
saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,48926,1.953,0.000048
2-hydroxybenzothiazole,C1=CC=C2C(=C1)NC(=O)S2,9312532,6.872,
31189,,997705,7.698,
